ROAD_CLASS,DISTRICT,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,DIVISION
Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,55 to 59,Minor,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,25 to 29,Major,South,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,10 to 14,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Driver,20 to 24,Major,East,"Automobile, Station Wagon",Changing Lanes,Lost control,Inattentive,D55
Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,At Intersection,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,Major,South,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Inattentive,D14
